Loop,"Multi-CNN-LSTM
Return / Sharpe","Single-CNN-LSTM
Return / Sharpe","Buy & Hold
Return / Sharpe","RSI Based
Return / Sharpe","MACD Based
Return / Sharpe"
Loop1 (Jan),-0.93% / -12.59,-0.54% / -7.01,3.63% / 4.62,0.57% / 2.70,-1.30% / -2.31
Loop2 (Feb),-0.19% / -2.04,1.07% / 10.37,-0.84% / -1.14,0.68% / 3.96,-1.90% / -3.48
Loop3 (Mar),1.18% / 13.95,0.36% / 5.86,-0.59% / -0.89,-1.36% / -7.59,0.70% / 1.63
Loop4 (Apr),1.25% / 7.36,2.18% / 13.31,-3.69% / -4.93,0.21% / 1.19,1.73% / 3.49
Loop5 (May),0.34% / 2.35,0.34% / 5.60,3.92% / 6.67,0.38% / 3.11,-0.82% / -1.83
Loop6 (Jun),-0.36% / -5.68,-0.35% / -7.91,1.75% / 2.62,-0.45% / -2.83,2.55% / 5.66
Loop7 (Jul),0.02% / 0.28,0.15% / 1.56,-3.29% / -4.78,-0.62% / -3.84,0.10% / 0.25
Loop8 (Aug),0.07% / 0.83,0.08% / 1.19,0.18% / 0.33,0.30% / 2.66,-1.53% / -3.44
Loop9 (Sep),-0.58% / -5.33,-0.74% / -7.43,-0.65% / -1.23,-0.87% / -7.27,-1.78% / -4.96
Loop10 (Oct),0.65% / 10.27,0.58% / 7.77,-1.99% / -4.17,-0.06% / -0.56,-1.25% / -3.40
Loop11 (Nov),-0.32% / -4.60,-0.62% / -6.36,-0.12% / -0.19,-1.12% / -7.00,1.35% / 3.52
Loop12 (Dec),0.74% / 8.10,0.35% / 5.78,-2.66% / -4.15,-1.65% / -9.20,1.67% / 3.76
สรุป (Average),0.16% / 1.08,0.24% / 1.89,-0.36% / -0.60,-0.33% / -2.06,-0.04% / -0.09
