Strategy,Mean_Return,Std_Return,Mean_Sharpe,Mean_Win_Rate,Mean_Max_Drawdown,Total_Trades_Sum,Best_Return,Worst_Return
MACD-based Trading (USDJPY),1.2388792500000212,2.6661481644732277,1.9202511493917003,0.525952647014547,0.0,4261,6.504063999999945,-3.4336260000000034
Buy & Hold (USDJPY),1.210557250000002,4.562178185734097,1.45781053226987,0.6666666666666666,0.0,12,6.420764000000018,-8.41080100000001
MACD-based Trading (GBPUSD),0.37508333333335936,2.5941295411734613,0.44933196024412125,0.5295601427447199,0.0,4286,6.461999999999988,-3.914000000000069
Multi-CNN-LSTM-Conservative (EURUSD),0.2535000000000127,0.6810370156362016,1.6445546235921837,0.05895082943663329,0.0,846,1.4480000000000655,-0.9700000000000183
Multi-CNN-LSTM-Moderate (EURUSD),0.17833333333333634,0.3930691909688372,2.4543053503991246,0.07453659704378952,0.0,883,1.002000000000062,-0.42100000000000365
Single-CNN-LSTM-Conservative (EURUSD),0.1595000000000194,0.7355714898408304,0.17688557811723352,0.05499115180307712,0.0,855,1.4480000000000655,-0.9100000000000182
RSI-based Trading (EURUSD),0.11191666666668425,1.5325844434774236,0.9147906849562638,0.3835252801416562,0.0,1777,2.5600000000000547,-2.288000000000011
Multi-CNN-LSTM-Aggressive (EURUSD),0.10325000000001185,0.2869617788138516,0.10854734669287236,0.11960049625818854,0.0,1027,0.8530000000000837,-0.2444999999999709
Single-CNN-LSTM-Moderate (EURUSD),0.09425000000001092,0.3795354891179539,-0.7087387709706284,0.06564959125306337,0.0,881,0.7650000000000182,-0.455
Single-CNN-LSTM-Aggressive (EURUSD),0.061208333333340005,0.2379403337615399,-0.23084533688735273,0.12199305909261092,0.0,990,0.5459999999999855,-0.23049999999999274
Multi-CNN-LSTM-Aggressive (GBPUSD),-0.03562499999998939,0.28767937339162775,-1.984843074639319,0.09105425246380956,0.0,935,0.5839999999999963,-0.45999999999998176
Multi-CNN-LSTM-Moderate (GBPUSD),-0.07525000000000394,0.4437627228223021,-2.989100984511366,0.05239267501552931,0.0,849,1.1679999999999564,-0.5940000000000509
Single-CNN-LSTM-Conservative (GBPUSD),-0.08150000000001152,1.0124176098165514,-2.2276080370975304,0.055395366249830345,0.0,855,2.335999999999931,-1.1880000000000657
Multi-CNN-LSTM-Conservative (GBPUSD),-0.09733333333334031,0.8974387010945246,-1.7383861236408817,0.049493447123961636,0.0,838,2.335999999999931,-1.1880000000000657
Single-CNN-LSTM-Moderate (GBPUSD),-0.12566666666667514,0.4959585556161781,-5.117803831358983,0.08108579210750425,0.0,915,1.21399999999996,-0.5690000000000328
Single-CNN-LSTM-Aggressive (USDJPY),-0.19478316666667675,0.36681940799494533,-6.1529421907387,0.13643901276399148,0.0,1074,0.5597760000000017,-0.8584065000000373
Single-CNN-LSTM-Aggressive (GBPUSD),-0.20516666666666272,0.5907923116929955,-4.750707812756017,0.19663644546103834,0.0,1259,0.7539999999999963,-1.2914999999999783
Multi-CNN-LSTM-Aggressive (USDJPY),-0.2913417499999938,0.3974055544389536,-8.052493916064561,0.09747837010573997,0.0,980,0.31612350000001244,-1.167449499999966
MACD-based Trading (EURUSD),-0.42566666666663266,3.4469666939047814,-0.4123227506795926,0.5167248492425583,0.0,4204,6.638999999999906,-6.973000000000047
RSI-based Trading (GBPUSD),-0.5146666666666746,1.6889463842552352,-0.4073569549377541,0.3842643573950468,0.0,1741,2.7609999999999126,-4.428999999999996
Buy & Hold (EURUSD),-0.5501666666666671,2.673237264483311,-0.7113700174610366,0.3333333333333333,0.0,12,4.575999999999985,-5.262999999999993
Multi-CNN-LSTM-Moderate (USDJPY),-0.6631374166666759,0.4216623809555178,-14.077870879211185,0.03174991650643621,0.0,852,-0.2607289999999921,-1.7984470000000148
Single-CNN-LSTM-Moderate (USDJPY),-0.8146045833333361,0.7223140734589728,-13.291375889952429,0.045313423790837054,0.0,871,-0.26156200000006724,-3.066272999999983
RSI-based Trading (USDJPY),-0.822934583333287,2.2930101382077366,-2.6250902090732713,0.384373385502212,0.0,1830,2.872184000000052,-6.0933949999997825
Multi-CNN-LSTM-Conservative (USDJPY),-1.0680448333333394,0.927053894319879,-11.680437361178578,0.02451481861933527,0.0,820,0.0,-3.5968940000000478
Buy & Hold (GBPUSD),-1.1942500000000003,3.376697181295157,-1.1106774217611635,0.3333333333333333,0.0,12,4.948999999999996,-5.6969999999999885
Single-CNN-LSTM-Conservative (USDJPY),-1.2407534999999992,0.8728875863187834,-13.624875981980267,0.021920855389748084,0.0,829,-0.2598959999999352,-3.5968940000000478
